cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
1488,53573,Tesco,Terry's Chocolate Orange Milk Chocolate Box 157G,food_cupboard,Terry's,False,,157.0,g,,Chocolate Orange Milk Chocolate Box,terry s chocolate orange milk chocolate box,1.49,9.5,branded,4,4,branded,0.9125,,,,
1636,8980,ASDA,KP Honey Roast Peanuts,fresh_food,Kp,False,,220.0,g,,Honey Roast Peanuts,kp honey roast peanuts,3.25,14.4,branded,4,4,branded,1.0,,,,
1636,20969,Morrisons,KP Honey Roast Peanuts,food_cupboard,Kp,False,,220.0,g,,Honey Roast Peanuts,kp honey roast peanuts,3.0,13.3,branded,4,4,branded,1.0,,,,
1636,34591,Sains,KP Honey Roast Peanuts 225g,food_cupboard,Kp,False,,225.0,g,,Honey Roast Peanuts,kp honey roast peanuts,3.25,14.4,branded,4,4,branded,1.0,,,,
1636,56942,Tesco,Kp Honey Roast Peanuts 225G,food_cupboard,Kp,False,,225.0,g,,Honey Roast Peanuts,kp honey roast peanuts,3.0,13.33,branded,4,4,branded,1.0,,,,
1702,9329,ASDA,Koko Dairy Free Unsweetened Coconut,fresh_food,Koko,False,,1000.0,ml,,Unsweetened Coconut,koko unsweetened coconut,1.8,1.8,branded,4,4,branded,0.8630024509803922,,,,
1702,17092,Morrisons,Koko Dairy Free Unsweetened,free-from,Koko,False,,1035.7,ml,,Unsweetened,koko unsweetened,1.45,1.4,branded,4,4,branded,0.8630024509803922,,,,
1702,41966,Sains,Koko Unsweetened Coconut UHT 1L,free-from,Koko,False,,1000.0,ml,,Unsweetened Coconut UHT,koko unsweetened coconut uht,1.8,1.8,branded,4,4,branded,0.8630024509803922,,,,
1702,55905,Tesco,Koko Dairy Free Unsweetened Alternative Drink 1 Litre,drinks,Koko,False,,1000.0,ml,,Unsweetened Alternative Drink,koko unsweetened alternative drink,1.85,1.85,branded,4,4,branded,0.8630024509803922,,,,
1720,9438,ASDA,Walkers Cheese & Onion Sharing Crisps,food_cupboard,Walkers,False,,150.0,g,,Cheese and Onion Sharing Crisps,walkers cheese and onion sharing crisps,1.5,10.0,branded,4,4,branded,0.7953063905180839,,,,
1720,20697,Morrisons,Walkers Cheese & Onion Sharing Crisps,food_cupboard,Walkers,False,,150.0,g,,Cheese and Onion Sharing Crisps,walkers cheese and onion sharing crisps,1.5,10.0,branded,4,4,branded,0.7953063905180839,,,,
1720,31323,Sains,Walkers Salt & Vinegar Multipack Crisps 6x25g,food_cupboard,Walkers,False,,150.0,g,6.0,Salt and Vinegar Multipack Crisps,walkers salt and vinegar multipack crisps,1.65,11.0,branded,4,4,branded,0.7953063905180839,,,,
1720,54731,Tesco,Walkers Cheese & Onion Multipack Crisps 6x25g,food_cupboard,Walkers,False,,150.0,g,6.0,Cheese and Onion Multipack Crisps,walkers cheese and onion multipack crisps,1.65,11.0,branded,4,4,branded,0.7953063905180839,,,,
1929,10966,ASDA,Mr Kipling Lemon Fancies Cakes,bakery,Mr Kipling,False,,,,,Lemon Fancies Cakes,mr kipling lemon fancies cakes,2.0,0.25,branded,4,4,branded,1.0,,,,
1929,26044,Morrisons,Mr Kipling French Fancies,bakery,Mr Kipling,False,,,,,French Fancies,mr kipling french fancies,2.99,0.37,branded,4,4,branded,1.0,,,,
1929,41933,Sains,Mr Kipling Lemon Fancies Cakes x8,free-from,Mr Kipling,False,,,,8.0,Lemon Fancies Cakes,mr kipling lemon fancies cakes,3.0,0.38,branded,4,4,branded,1.0,,,,
1929,50917,Tesco,Mr Kipling French Fancies 8 Pack,bakery,Mr Kipling,False,,,,8.0,French Fancies,mr kipling french fancies,1.5,0.19,branded,4,4,branded,1.0,,,,
2299,13686,ASDA,Maggi Authentic Indian Hot & Sweet Sauce,food_cupboard,Maggi,False,,400.0,g,,Authentic Indian Hot and Sweet Sauce,maggi authentic indian hot and sweet sauce,1.75,4.4,branded,4,4,branded,1.0,,,,
2299,17874,Morrisons,Maggi Authentic Indian Hot & Sweet Sauce,food_cupboard,Maggi,False,,400.0,g,,Authentic Indian Hot and Sweet Sauce,maggi authentic indian hot and sweet sauce,2.29,5.7,branded,4,4,branded,1.0,,,,
