ensemble_cluster_id,product_idx,supermarket,score,pass
12718,3720,ASDA,0.9263,1
12758,5834,ASDA,0.9262,1
2689,24984,Morrisons,0.9261,1
2505,25313,Morrisons,0.9258,1
13494,27908,Morrisons,0.9255,1
10670,8569,ASDA,0.9255,1
3764,55669,Tesco,0.9255,1
6984,53215,Tesco,0.9254,1
13587,4996,ASDA,0.9253,1
3967,53771,Tesco,0.9253,1
11061,40140,Sains,0.9252,1
11120,4539,ASDA,0.9248,1
9247,8521,ASDA,0.9247,1
12144,41020,Sains,0.9247,1
5789,63833,Tesco,0.9245,1
7814,51469,Tesco,0.9244,1
7399,27664,Morrisons,0.9243,1
13067,21799,Morrisons,0.9243,1
9005,23563,Morrisons,0.9242,1
13450,14884,ASDA,0.9241,1
13543,108,ASDA,0.924,1
13219,11216,ASDA,0.924,1
9503,7027,ASDA,0.9239,1
9415,54354,Tesco,0.9237,1
1723,51854,Tesco,0.9236,1
8412,39020,Sains,0.9236,1
1624,35238,Sains,0.9235,1
7887,17833,Morrisons,0.9234,1
11203,64762,Tesco,0.9234,1
14112,5690,ASDA,0.9234,1
8048,28161,Morrisons,0.923,1
11157,13373,ASDA,0.923,1
8336,18810,Morrisons,0.9229,1
566,49005,Sains,0.9228,1
10742,7875,ASDA,0.9225,1
12487,23132,Morrisons,0.9225,1
12564,18103,Morrisons,0.9224,1
12456,8766,ASDA,0.922,1
4498,62548,Tesco,0.922,1
14309,27580,Morrisons,0.9219,1
10081,8772,ASDA,0.9215,1
4905,37545,Sains,0.9215,1
4495,52433,Tesco,0.9215,1
13421,15078,ASDA,0.9212,1
11195,40623,Sains,0.9211,1
11738,14646,ASDA,0.921,1
6642,38135,Sains,0.9207,1
10925,39617,Sains,0.9205,1
11203,7162,ASDA,0.9205,1
7793,49579,Tesco,0.9204,1
1784,23094,Morrisons,0.9203,1
7970,28467,Morrisons,0.9199,1
9563,1184,ASDA,0.9199,1
5076,52512,Tesco,0.9199,1
8986,30071,Morrisons,0.9198,1
11073,4763,ASDA,0.9196,1
2628,25448,Morrisons,0.9195,1
5877,26144,Morrisons,0.9194,1
10561,8633,ASDA,0.9193,1
11349,12005,ASDA,0.9191,1
3927,43825,Sains,0.919,1
3112,30946,Morrisons,0.919,1
8043,30752,Morrisons,0.9188,1
852,49872,Tesco,0.9186,1
14154,28120,Morrisons,0.9186,1
7275,36138,Sains,0.9185,1
7832,50968,Tesco,0.9185,1
4924,38101,Sains,0.9184,1
1134,53764,Tesco,0.9183,1
1425,35814,Sains,0.918,1
1956,37369,Sains,0.9179,1
10861,48500,Sains,0.9177,1
911,30442,Morrisons,0.9176,1
10415,52932,Tesco,0.9175,1
9534,6606,ASDA,0.9175,1
2496,24463,Morrisons,0.9174,1
2637,57328,Tesco,0.9172,1
7638,37535,Sains,0.9172,1
9876,15412,ASDA,0.917,1
574,18474,Morrisons,0.9169,1
8772,53622,Tesco,0.9169,1
5028,23074,Morrisons,0.9168,1
6387,24122,Morrisons,0.9168,1
10951,13382,ASDA,0.9168,1
13051,15824,ASDA,0.9167,1
12179,9757,ASDA,0.9166,1
2142,44993,Sains,0.9166,1
3939,19480,Morrisons,0.9165,1
2610,25668,Morrisons,0.9164,1
12390,20789,Morrisons,0.9163,1
11402,5953,ASDA,0.9161,1
10938,4794,ASDA,0.9159,1
12938,14066,ASDA,0.9159,1
6867,64120,Tesco,0.9158,1
13088,22256,Morrisons,0.9157,1
3780,35691,Sains,0.9156,1
9331,37816,Sains,0.9155,1
14335,1444,ASDA,0.9155,1
10583,8218,ASDA,0.9153,1
10116,36593,Sains,0.9153,1
13805,918,ASDA,0.9152,1
1272,39258,Sains,0.9151,1
13225,27874,Morrisons,0.9151,1
4681,58004,Tesco,0.9151,1
13533,18896,Morrisons,0.915,1
5129,56112,Tesco,0.9147,1
9400,7365,ASDA,0.9146,1
5183,24380,Morrisons,0.9146,1
12138,5380,ASDA,0.9145,1
11908,55920,Tesco,0.9142,1
9574,12370,ASDA,0.914,1
12774,17520,Morrisons,0.914,1
10760,277,ASDA,0.9139,1
4750,64744,Tesco,0.9135,1
1689,48192,Sains,0.9133,1
14072,20259,Morrisons,0.9131,1
3523,64489,Tesco,0.9131,1
4858,34803,Sains,0.913,1
6409,39117,Sains,0.9126,1
9667,57415,Tesco,0.9123,1
9627,7342,ASDA,0.9122,1
12237,873,ASDA,0.9122,1
7782,61646,Tesco,0.9119,1
12293,13616,ASDA,0.9118,1
13975,848,ASDA,0.9116,1
1679,34673,Sains,0.9115,1
7756,18218,Morrisons,0.9113,1
11346,52492,Tesco,0.9112,1
13548,4943,ASDA,0.9112,1
6459,40806,Sains,0.9109,1
6963,28098,Morrisons,0.9108,1
9653,54036,Tesco,0.9104,1
2064,64278,Tesco,0.9102,1
12802,20807,Morrisons,0.9102,1
5895,26078,Morrisons,0.91,1
