cluster_id,product_idx,supermarket,names,unit_value,unit_type,match_type,avg_pairwise_score,cluster_size,verdict,confidence,reason
4429,8176,ASDA,Heinz Mild Yellow Mustard,240.0,g,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4429,35201,Sains,"Heinz Yellow Mustard, Mild 220ml",220.0,ml,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4438,8188,ASDA,Heinz Light Salad Cream,600.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4438,32751,Sains,Heinz Salad Cream Light 605g,605.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4438,52297,Tesco,Heinz Salad Cream Light 605G,605.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4561,8368,ASDA,Knorr Vegetable Stock Pot,110.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4561,22077,Morrisons,Knorr Vegetable Stock Pot 4 Pack,110.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4561,32315,Sains,Knorr Stock Pot Vegetable 4x28g,112.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4561,55648,Tesco,Knorr Vegetable Stock Pot 4x28g,112.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4691,8557,ASDA,East End Hot Peri Peri Rub,100.0,g,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4691,38310,Sains,East End Hot Peri Peri Seasoning 100g,100.0,g,branded,0.0,2,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4996,9001,ASDA,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,130.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4996,38051,Sains,KP Flavour Kravers Crunchy Coated Aromatic Thai Chilli Flavour Peanuts 130g,130.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
4996,58046,Tesco,Kp Flavour Kravers Thai Chilli Coated Peanuts 130G,130.0,g,branded,0.0,3,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5218,9324,ASDA,Alpro Not M*lk Whole Long Life Drink,1000.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5218,18528,Morrisons,Alpro Oat Long Life Drink,1000.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5218,40694,Sains,Alpro Not Milk Whole Long Life Drink 1L,1000.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5218,57687,Tesco,Alpro This is Not M*lk Oat Whole Long Life Dairy Free Drink 1L,1000.0,ml,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5403,9610,ASDA,ASDA Cheese Balls Sharing Snacks,150.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5403,20750,Morrisons,Morrisons Cheese Balls,140.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
5403,47165,Sains,Sainsbury's Cheese Balls 140g,140.0,g,own_brand,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
