supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
ASDA,2.5,10.4,l,Leon Love Burger Sauce,20240413,food_cupboard,False
Tesco,7.75,10.31,l,Tesco Finest Pinot Grigio Blush 75Cl,20240413,drinks,True
Tesco,3.0,12.0,kg,Tesco Finest Salted Caramel Sauce 250G,20240413,food_cupboard,True
Tesco,1.85,12.33,kg,Yamas Authentic Greek Feta Pdo 150G,20240413,fresh_food,False
Sains,3.3,5.5,kg,BOL Garden Pea & Spinach Protein Power Soup,20240413,free-from,False
Morrisons,6.49,6.49,unit,Velo Max Ruby Berry 17mg,20240319,drinks,False
Morrisons,1.35,7.1,kg,Morrisons Midget Gems,20240413,food_cupboard,True
Sains,1.65,9.7,kg,"Sainsbury's Fire Roasted Red Pepper Dip Summer Edition, Taste the Difference 170g",20240413,free-from,True
ASDA,1.75,14.6,kg,Nescafe Gold Cappuccino Decaf Unsweetened Taste Coffee Sachets,20240413,drinks,False
Sains,1.65,11.0,kg,Walkers Prawn Cocktail Multipack Crisps 6x25g,20240413,food_cupboard,False
Sains,1.75,3.5,kg,Chicken Tonight Mushroom Sauce 500g,20240413,food_cupboard,False
Sains,4.2,4.2,l,Diet Coke 4x250ml,20240413,drinks,False
Sains,2.5,7.1,kg,"Sainsbury's Tomato Sauce with Basil, SO Organic 350g",20240413,food_cupboard,True
ASDA,2.0,2.0,unit,George Home Stainless Steel Whisk,20240413,food_cupboard,True
Tesco,1.75,5.8,kg,Tesco Free From Choco-Nut Pillows 300G,20240413,food_cupboard,True
Sains,1.4,0.35,unit,Sainsbury's Braeburn Apples,20240413,fresh_food,True
Morrisons,3.99,5.87,kg,Mother Africa Fufu Flour,20240413,food_cupboard,False
Sains,4.0,22.9,kg,Bisto Gluten Free Gravy Granules 175g,20240413,food_cupboard,False
Sains,3.0,19.4,kg,Higgidy Spinach & Tomato Quiche 155g,20240413,fresh_food,False
ASDA,17.0,226.61,l,ASDA Extra Special Cóte De Beaune Villages,20240413,drinks,True
Tesco,1.3,3.25,kg,Tesco Vanilla Sponge Mix 400G,20240413,food_cupboard,True
Morrisons,0.99,9.9,kg,Morrisons Sardines in Harissa Sauce (100g),20240413,food_cupboard,True
Morrisons,12.0,12.0,unit,Cruzcampo Sevilla Lager Beer12 x 330ml,20240306,drinks,False
Morrisons,2.5,15.6,kg,Princes Mexican Tuna Salad Bowl (160g),20240413,food_cupboard,False
Tesco,7.0,7.0,unit,Tesco Free From Stripey The Caterpillar Cake,20240413,bakery,True
Sains,1.0,10.0,kg,Pot Noodle Chilli Chicken Instant Snack 100g,20240413,food_cupboard,False
ASDA,3.6,8.18,kg,ASDA Tender 4 Pork Loin Steaks,20240224,fresh_food,True
Sains,1.25,1.3,l,Nexba Naturally Sugar Free Pineapple Soft Drink 1L,20240413,drinks,False
Morrisons,1.5,1.9,kg,Hovis Seeded Batch Bread,20240413,bakery,False
Sains,5.75,7.65,l,Hardys VR Sauvignon Blanc 750ml,20240413,drinks,False
Morrisons,3.0,30.0,kg,Extra Watermelon Flavour Sugarfree Ch…,20240413,food_cupboard,False
ASDA,2.3,4.6,l,Timothy Taylor's Landlord Classic Pale Ale,20240413,drinks,False
Sains,4.0,20.0,kg,Costa Coffee Mocha Italia Signature Blend Ground for Cafetiere & Filter 200g,20240413,food_cupboard,False
Morrisons,2.29,2.29,kg,Allinson Plain Wholemeal Flour,20240413,food_cupboard,False
Morrisons,3.99,11.4,kg,Morrisons Chinese Sweet & Sour Chicken,20240413,fresh_food,True
ASDA,0.49,2.04,kg,ASDA Mexican Style Bean Mix in Water,20240308,drinks,True
Tesco,2.65,11.04,kg,Quorn Tomato & Mozzarella Escalopes 240g,20240413,frozen,False
Morrisons,1.59,6.36,kg,Crisp 'N' Dry Solid White Vegetable Oil,20240413,fresh_food,False
ASDA,1.75,5.8,kg,Tropics Original Recipe Hot & Spicy Chicken Fry Mix,20240413,food_cupboard,False
Tesco,3.0,3.0,l,Tesco Low Alcohol Reduced Cal G&T. 4 X 250Ml,20240413,drinks,True
Tesco,3.0,16.7,kg,Tony's Chocolonely Milk Chocolate Caramel Biscuit 180G,20240413,food_cupboard,False
Sains,1.25,3.6,kg,Sainsbury's Arrabiata Sauce 350g (Serves 2),20240413,free-from,True
Tesco,1.25,1.25,l,Tesco Coconut Drink 1 Litre,20240413,food_cupboard,True
Sains,1.7,6.8,l,"Red Bull Spiced Pear Energy Drink, the Winter Edition 250ml",20240413,drinks,False
Tesco,3.3,7.8,kg,Tesco Chicken & Bacon Sandwich Filler 423G,20240413,fresh_food,True
Tesco,2.25,5.6,l,Cadbury Creme Egg Ice Cream Cones 4X100ml,20240212,frozen,False
Sains,2.35,7.83,kg,Sainsbury's Watermelon 300g,20240413,fresh_food,True
Morrisons,1.99,36.2,kg,Cornish Sea Salt Really Garlicky Seasoning,20240413,food_cupboard,False
Morrisons,1.49,4.3,kg,Regal Bakery Mini Madeira Cakes,20240413,food_cupboard,False
Tesco,0.59,3.28,kg,Batchelors Bigga Marrowfat Processed Peas 300G,20240413,food_cupboard,False
Sains,3.25,14.13,kg,Sainsbury's Mini Garlic Pizza Breads x2 230g,20240413,free-from,True
Sains,1.09,3.2,kg,Sainsbury's Peanut Butter Smooth 340g,20240409,food_cupboard,True
ASDA,13.0,13.0,unit,George Home Green Simplicity 28cm Wok,20240405,fresh_food,True
